ilkid,position,year,firstname,lastname,team,Season #,leag,gp,minutes,pts,oreb,dreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
ABDULKA01,1,1978,Kareem,Abdul-jabbar,LAL,9,N,80,3157,1903,207,818,1025,431,76,316,282,230,1347,777,474,349,0,0
ABDULKA01,1,1979,Kareem,Abdul-jabbar,LAL,10,N,82,3143,2034,190,696,886,371,81,280,297,216,1383,835,476,364,1,0
ABDULKA01,1,1980,Kareem,Abdul-jabbar,LAL,11,N,80,2976,2095,197,624,821,272,59,228,249,244,1457,836,552,423,1,0
ABDURSH01,0,2005,Shareef,Abdur-Rahim,SAC,9,N,72,1958,887,106,251,357,149,48,42,108,227,632,332,278,218,22,5
ABDURSH01,0,2006,Shareef,Abdur-Rahim,SAC,10,N,80,2012,793,122,276,398,109,53,40,116,243,654,310,234,170,20,3
ABDURSH01,0,2007,Shareef,Abdur-Rahim,SAC,11,N,6,51,10,6,4,10,4,1,0,1,9,14,3,4,4,0,0
ADAMSAL01,1,1984,Alvan,Adams,PHO,9,N,82,2136,1202,153,347,500,308,115,48,197,254,915,476,283,250,0,0
ADAMSAL01,1,1985,Alvan,Adams,PHO,10,N,78,2005,841,148,329,477,324,103,46,206,272,679,341,203,159,2,0
ADAMSAL01,1,1986,Alvan,Adams,PHO,11,N,68,1690,756,91,247,338,223,62,37,139,207,618,311,170,134,1,0
AGUIRMA01,0,1990,Mark,Aguirre,DET,9,N,78,2006,1104,134,240,374,139,47,20,128,209,909,420,317,240,78,24
AGUIRMA01,0,1991,Mark,Aguirre,DET,10,N,75,1582,851,67,169,236,126,51,11,105,171,787,339,230,158,71,15
AGUIRMA01,0,1992,Mark,Aguirre,DET,11,N,51,1056,503,43,109,152,105,16,7,68,101,422,187,129,99,83,30
AINGEDA01,2,1990,Danny,Ainge,POR,9,N,80,1710,890,45,160,205,285,63,13,100,195,714,337,138,114,251,102
AINGEDA01,2,1991,Danny,Ainge,POR,10,N,81,1595,784,40,108,148,202,73,13,70,148,676,299,131,108,230,78
AINGEDA01,2,1992,Danny,Ainge,PHO,11,N,80,2163,947,49,165,214,260,69,8,113,175,730,337,145,123,372,150
ALLENRA02,2,2005,Ray,Allen,SEA,9,N,78,3023,1955,71,261,332,286,105,16,188,151,1500,681,359,324,653,269
ALLENRA02,2,2006,Ray,Allen,SEA,10,N,55,2222,1454,57,190,247,228,82,11,154,113,1153,505,309,279,443,165
ALLENRA02,2,2007,Ray,Allen,BOS,11,N,73,2622,1273,75,193,268,225,65,16,127,147,987,439,237,215,452,180
ANDERKE02,2,2000,Kenny,Anderson,BOS,9,N,33,849,246,16,57,73,134,44,2,52,62,227,88,71,59,33,11
ANDERKE02,2,2001,Kenny,Anderson,BOS,10,N,76,2432,731,57,218,275,403,141,10,119,210,716,312,132,98,33,9
ANDERKE02,2,2002,Kenny,Anderson,TOT,11,N,61,1135,372,31,101,132,198,58,5,75,106,382,163,57,45,7,1
ANDERNI01,2,1998,Nick,Anderson,ORL,9,N,47,1581,701,51,226,277,91,64,15,83,72,640,253,162,99,277,96
ANDERNI01,2,1999,Nick,Anderson,SAC,10,N,72,2094,781,83,256,339,123,94,16,95,118,782,306,76,37,397,132
ANDERNI01,2,2000,Nick,Anderson,SAC,11,N,21,169,38,3,22,25,13,10,4,7,13,57,14,0,0,39,10
ARCHINA01,2,1979,Nate,Archibald,BOS,9,N,80,2864,1131,59,138,197,671,106,10,242,218,794,383,435,361,18,4
ARCHINA01,2,1980,Nate,Archibald,BOS,10,N,80,2820,1106,36,140,176,618,75,18,265,201,766,382,419,342,9,0
ARCHINA01,2,1981,Nate,Archibald,BOS,11,N,68,2167,858,25,91,116,541,52,3,178,131,652,308,316,236,16,6
ARMSTDA01,2,2003,Darrell,Armstrong,NOH,9,N,79,2247,840,63,163,226,311,133,16,155,148,736,291,144,123,429,135
ARMSTDA01,2,2004,Darrell,Armstrong,TOT,10,N,66,988,264,35,80,115,178,45,8,67,92,277,89,68,58,111,28
ARMSTDA01,2,2005,Darrell,Armstrong,DAL,11,N,62,621,130,18,63,81,86,27,3,58,71,128,43,42,33,48,11
AUGMOST01,2,2000,Stacey,Augmon,POR,9,N,66,1182,311,60,99,159,98,48,21,48,105,266,127,87,57,4,0
AUGMOST01,2,2001,Stacey,Augmon,CHA,10,N,77,1317,357,60,166,226,103,56,12,54,115,328,140,101,77,3,0
AUGMOST01,2,2002,Stacey,Augmon,NOH,11,N,70,862,212,26,93,119,69,27,9,40,80,192,79,72,54,7,0
AWTREDE01,1,1979,Dennis,Awtrey,CHI,9,N,26,560,86,29,86,115,40,12,15,27,66,60,27,50,32,0,0
AWTREDE01,1,1980,Dennis,Awtrey,SEA,10,N,47,607,102,33,75,108,54,12,8,33,85,93,44,20,14,0,0
AWTREDE01,1,1981,Dennis,Awtrey,POR,11,N,10,121,15,7,7,14,8,1,2,6,28,15,5,9,5,0,0
BAGLEJO01,2,1991,John,Bagley,BOS,9,N,73,1742,524,38,123,161,480,57,4,148,123,506,223,95,68,42,10
BAGLEJO01,2,1992,John,Bagley,BOS,10,N,10,97,23,1,6,7,20,2,0,17,11,25,9,6,5,1,0
BAGLEJO01,2,1993,John,Bagley,ATL,11,N,3,13,2,0,1,1,3,0,0,0,2,2,0,2,2,0,0
BAKERVI01,0,2002,Vin,Baker,BOS,9,N,52,942,270,90,108,198,29,22,30,61,146,207,99,107,72,4,0
BAKERVI01,0,2003,Vin,Baker,TOT,10,N,54,1313,531,112,168,280,66,29,32,77,160,432,208,157,114,3,1
BAKERVI01,0,2004,Vin,Baker,TOT,11,N,27,204,35,17,22,39,10,2,4,17,38,42,13,17,9,1,0
BARKLCH01,0,1993,Charles,Barkley,PHO,9,N,65,2298,1402,198,529,727,296,101,37,206,160,1046,518,452,318,178,48
BARKLCH01,0,1994,Charles,Barkley,PHO,10,N,68,2382,1561,203,553,756,276,110,45,150,201,1141,554,507,379,219,74
BARKLCH01,0,1995,Charles,Barkley,PHO,11,N,71,2632,1649,243,578,821,262,114,56,218,208,1160,580,566,440,175,49
BARRODA01,2,1998,Dana,Barros,BOS,9,N,50,1156,464,16,89,105,208,52,5,88,64,371,168,73,64,160,64
BARRODA01,2,1999,Dana,Barros,BOS,10,N,72,1139,517,13,86,99,133,31,4,66,80,435,196,76,66,144,59
BARRODA01,2,2000,Dana,Barros,DET,11,N,60,1079,478,6,88,94,110,30,2,60,63,412,183,80,68,105,44
BARRYBR01,2,2004,Brent,Barry,SAS,9,N,81,1742,601,29,161,190,178,39,20,64,123,459,194,135,113,280,100
BARRYBR01,2,2005,Brent,Barry,SAS,10,N,74,1255,431,29,130,159,123,39,27,52,99,345,156,59,39,202,80
BARRYBR01,2,2006,Brent,Barry,SAS,11,N,75,1633,635,17,143,160,138,56,12,61,88,425,202,117,103,287,128
BARRYJO01,2,2001,Jon,Barry,DET,9,N,82,1984,739,42,190,232,274,94,20,111,134,522,255,116,108,258,121
BARRYJO01,2,2002,Jon,Barry,DET,10,N,80,1473,555,33,147,180,206,63,14,81,104,424,191,100,86,214,87
BARRYJO01,2,2003,Jon,Barry,DEN,11,N,57,1101,351,25,98,123,147,57,8,53,66,297,120,71,60,138,51
BARRYRI01,0,1974,Rick,Barry,GSW,9,N,80,3235,2450,92,364,456,492,228,33,0,225,2217,1028,436,394,0,0
BARRYRI01,0,1975,Rick,Barry,GSW,10,N,81,3122,1701,74,422,496,496,202,27,0,215,1624,707,311,287,0,0
BARRYRI01,0,1976,Rick,Barry,GSW,11,N,79,2904,1723,73,349,422,475,172,58,0,194,1551,682,392,359,0,0
BENJABE01,1,1994,Benoit,Benjamin,NJN,9,N,61,1598,675,94,346,440,38,23,64,125,151,531,271,175,133,0,0
BENJABE01,1,1995,Benoit,Benjamin,TOT,10,N,83,1896,728,141,398,539,64,45,85,144,224,590,294,194,140,3,0
BENJABE01,1,1996,Benoit,Benjamin,TOR,11,N,4,44,13,3,6,9,1,1,0,2,5,12,5,4,3,0,0
BIBBYMI01,2,2007,Mike,Bibby,TOT,9,N,47,1568,667,16,144,160,290,54,4,119,97,603,248,100,78,249,93
BIBBYMI01,2,2008,Mike,Bibby,ATL,10,N,79,2740,1176,38,240,278,392,98,11,128,145,1005,437,171,135,428,167
BibbyMi01,2,2009,Mike,Bibby,ATL,11,N,80,2195,730,20,164,184,310,67,3,90,157,644,268,79,68,324,126
BILLUCH01,2,2006,Chauncey,Billups,DET,9,N,70,2537,1191,23,214,237,502,84,17,140,161,815,348,437,386,316,109
BILLUCH01,2,2007,Chauncey,Billups,DET,10,N,78,2526,1326,42,170,212,529,101,17,160,130,878,394,437,401,342,137
BILLUCH01,2,2008,Chauncey,Billups,TOT,11,N,79,2790,1400,32,207,239,506,93,18,177,161,980,410,458,418,397,162
BINGDA01,2,1975,Dave,Bing,WA1,9,N,82,2945,1326,94,143,237,492,118,23,0,262,1113,497,422,332,0,0
BINGDA01,2,1976,Dave,Bing,WA1,10,N,64,1516,678,54,89,143,275,61,5,0,150,597,271,176,136,0,0
BINGDA01,2,1977,Dave,Bing,BOS,11,N,80,2256,1088,76,136,212,300,79,18,216,247,940,422,296,244,0,0
BIRDLA01,0,1988,Larry,Bird,BOS,9,N,6,189,116,1,36,37,29,6,5,11,18,104,49,19,18,0,0
BIRDLA01,0,1989,Larry,Bird,BOS,10,N,75,2944,1820,90,622,712,562,106,61,243,173,1517,718,343,319,195,65
BIRDLA01,0,1990,Larry,Bird,BOS,11,N,60,2277,1164,53,456,509,431,108,58,187,118,1017,462,183,163,198,77
BIRDSOT01,2,1986,Otis,Birdsong,NJN,9,N,7,127,44,3,4,7,17,3,0,9,16,42,19,9,6,1,0
BIRDSOT01,2,1987,Otis,Birdsong,NJN,10,N,67,1882,730,73,94,167,222,54,11,129,143,736,337,92,47,25,9
BIRDSOT01,2,1988,Otis,Birdsong,BOS,11,N,13,108,37,4,9,13,9,3,1,12,10,36,18,2,0,3,1
BLACKRO01,2,1990,Rolando,Blackman,DAL,9,N,80,2965,1590,63,193,256,301,69,19,159,153,1316,634,326,282,114,40
BLACKRO01,2,1991,Rolando,Blackman,DAL,10,N,75,2527,1374,78,161,239,204,50,22,153,134,1161,535,266,239,169,65
BLACKRO01,2,1992,Rolando,Blackman,NYK,11,N,60,1434,580,23,79,102,157,22,10,65,129,539,239,90,71,73,31
BLAYLMO01,2,1998,Mookie,Blaylock,ATL,9,N,48,1763,640,45,179,224,278,99,9,115,61,651,247,91,69,251,77
BLAYLMO01,2,1999,Mookie,Blaylock,GSW,10,N,73,2459,822,55,215,270,489,146,22,143,122,837,327,95,67,301,101
BLAYLMO01,2,2000,Mookie,Blaylock,GSW,11,N,69,2352,760,71,201,272,462,163,20,128,134,801,317,76,53,225,73
BOGUEMU01,2,1996,Muggsy,Bogues,CHA,9,N,65,1880,522,25,116,141,469,82,2,108,114,443,204,64,54,144,60
BOGUEMU01,2,1997,Muggsy,Bogues,TOT,10,N,61,1570,347,30,102,132,331,67,3,105,58,323,141,68,61,16,4
BOGUEMU01,2,1998,Muggsy,Bogues,GSW,11,N,36,714,183,16,57,73,134,43,1,47,44,154,76,36,31,6,0
BOONERO01,2,1977,Ron,Boone,KCK,9,N,82,2653,1448,112,157,269,311,105,11,303,233,1271,563,377,322,0,0
BOONERO01,2,1978,Ron,Boone,LAL,10,N,82,1583,608,53,92,145,154,66,11,147,171,569,259,104,90,0,0
BOONERO01,2,1979,Ron,Boone,TOT,11,N,81,2392,1004,57,170,227,309,97,3,197,232,915,405,196,175,50,19
BOWENBR01,0,2005,Bruce,Bowen,SAS,9,N,82,2751,619,35,285,320,126,79,30,67,191,536,232,84,51,245,104
BOWENBR01,0,2006,Bruce,Bowen,SAS,10,N,82,2462,510,23,200,223,117,62,25,65,175,466,189,73,43,231,89
BOWENBR01,0,2007,Bruce,Bowen,SAS,11,N,81,2455,483,33,201,234,91,54,22,46,177,428,174,69,45,215,90
BRADLSH01,1,2002,Shawn,Bradley,DAL,9,N,81,1731,543,151,325,476,54,65,170,67,242,375,201,175,141,1,0
BRADLSH01,1,2003,Shawn,Bradley,DAL,10,N,66,773,219,72,101,173,20,33,74,17,130,188,89,49,41,1,0
BRADLSH01,1,2004,Shawn,Bradley,DAL,11,N,77,885,211,70,144,214,15,25,63,33,153,186,84,63,43,0,0
BRIDGJU01,0,1984,Junior,Bridgeman,LAC,9,N,80,2042,1115,55,175,230,171,47,18,116,128,990,460,206,181,39,14
BRIDGJU01,0,1985,Junior,Bridgeman,LAC,10,N,58,1161,510,29,94,123,108,31,8,68,81,451,199,119,106,18,6
BRIDGJU01,0,1986,Junior,Bridgeman,MIL,11,N,34,418,175,14,38,52,35,10,2,15,50,171,79,20,16,6,1
BROWNCH01,0,1998,Chucky,Brown,CHA,9,N,48,1192,407,36,138,174,57,16,19,38,106,373,176,59,40,40,15
BROWNCH01,0,1999,Chucky,Brown,TOT,10,N,63,1096,334,35,132,167,66,20,18,45,114,328,148,52,36,10,2
BROWNCH01,0,2000,Chucky,Brown,TOT,11,N,26,339,102,8,46,54,11,9,7,8,37,95,40,34,22,3,0
BROWNDE01,2,1999,Dee,Brown,TOR,9,N,38,673,264,9,45,54,86,24,5,39,62,258,93,16,11,187,67
BROWNDE01,2,2000,Dee,Brown,ORL,10,N,7,155,48,0,11,11,12,4,0,7,10,44,16,5,4,32,12
BROWNDE01,2,2001,Dee,Brown,ORL,11,N,7,65,7,0,9,9,2,3,1,4,4,20,3,0,0,12,1
BROWNFR01,2,1980,Fred,Brown,SEA,9,N,78,1986,1206,53,122,175,233,88,13,131,141,1035,505,208,173,64,23
BROWNFR01,2,1981,Fred,Brown,SEA,10,N,82,1785,922,42,98,140,238,69,4,96,111,863,393,129,111,77,25
BROWNFR01,2,1982,Fred,Brown,SEA,11,N,80,1432,814,32,65,97,242,59,13,110,98,714,371,72,58,32,14
BROWNPJ01,0,2002,P.J.,Brown,NOH,9,N,78,2609,832,243,458,701,147,67,80,98,203,601,319,232,194,3,0
BROWNPJ01,0,2003,P.J.,Brown,NOH,10,N,80,2753,836,237,453,690,155,78,73,101,203,712,339,185,158,1,0
BROWNPJ01,0,2004,P.J.,Brown,NOH,11,N,82,2817,886,266,471,737,178,74,50,101,233,758,338,243,210,0,0
BROWNRA01,2,2000,Randy,Brown,BOS,9,N,54,1238,223,23,76,99,154,62,10,56,132,237,100,40,23,3,0
BROWNRA01,2,2001,Randy,Brown,BOS,10,N,1,6,0,0,0,0,2,0,1,0,1,1,0,0,0,0,0
BROWNRA01,2,2002,Randy,Brown,PHO,11,N,32,262,41,3,23,26,35,17,2,17,36,43,16,12,9,0,0
BRYANKO01,2,2005,Kobe,Bryant,LAL,9,N,80,3274,2832,71,354,425,360,147,30,250,233,2173,978,819,696,518,180
BRYANKO01,2,2006,Kobe,Bryant,LAL,10,N,77,3142,2430,75,364,439,413,111,36,255,205,1757,813,768,667,398,137
BRYANKO01,2,2007,Kobe,Bryant,LAL,11,N,82,3193,2323,94,422,516,442,151,40,257,227,1690,775,742,623,415,150
BRYANMA01,0,1997,Mark,Bryant,PHO,9,N,70,1110,291,92,152,244,46,36,16,58,180,225,109,95,73,1,0
BRYANMA01,0,1998,Mark,Bryant,CHI,10,N,45,1204,407,92,140,232,48,34,16,68,149,348,168,110,71,1,0
BRYANMA01,0,1999,Mark,Bryant,CLE,11,N,75,1712,424,126,226,352,61,31,31,87,250,346,174,94,76,0,0
BUECHJU01,0,1999,Jud,Buechler,DET,9,N,58,657,130,30,61,91,33,25,16,13,50,156,55,7,2,83,18
BUECHJU01,0,2000,Jud,Buechler,DET,10,N,57,737,193,20,74,94,39,21,10,25,83,164,76,12,9,77,32
BUECHJU01,0,2001,Jud,Buechler,ORL,11,N,66,686,111,29,87,116,32,21,8,15,53,118,44,4,2,60,21
BULLAMA01,0,1999,Matt,Bullard,HOU,9,N,56,1024,382,13,125,138,63,19,13,36,85,340,139,30,25,177,79
BULLAMA01,0,2000,Matt,Bullard,HOU,10,N,61,1000,354,22,108,130,42,10,9,12,76,305,129,14,10,213,86
BULLAMA01,0,2001,Matt,Bullard,CHA,11,N,31,350,105,10,37,47,16,2,2,12,29,115,39,12,11,57,16
BUSEDO01,2,1981,Don,Buse,IND,9,N,82,2529,797,46,177,223,407,164,27,95,176,685,312,123,100,189,73
BUSEDO01,2,1982,Don,Buse,POR,10,N,41,643,194,19,35,54,115,44,2,25,60,182,72,46,41,35,9
BUSEDO01,2,1983,Don,Buse,KCK,11,N,76,1327,381,29,87,116,303,86,1,87,62,352,150,80,63,59,18
CAGEMI01,1,1993,Michael,Cage,SEA,9,N,82,1708,378,164,280,444,45,77,38,51,179,314,171,74,36,1,0
CAGEMI01,1,1994,Michael,Cage,CLE,10,N,82,2040,407,203,361,564,56,61,67,56,149,340,177,88,53,2,0
CAGEMI01,1,1995,Michael,Cage,CLE,11,N,82,2631,490,288,441,729,53,87,79,54,215,396,220,92,50,1,0
CAMBYMA01,1,2005,Marcus,Camby,DEN,9,N,56,1854,716,132,536,668,115,79,184,92,158,649,302,156,111,11,1
CAMBYMA01,1,2006,Marcus,Camby,DEN,10,N,70,2372,785,164,652,816,223,87,232,122,183,659,312,221,161,2,0
CAMBYMA01,1,2007,Marcus,Camby,DEN,11,N,79,2761,723,230,807,1037,259,84,286,118,216,636,287,202,143,20,6
CAMPBEL01,1,1999,Elden,Campbell,CHA,9,N,78,2538,987,168,422,590,129,56,150,127,269,829,370,358,247,6,0
CAMPBEL01,1,2000,Elden,Campbell,CHA,10,N,78,2337,1022,157,451,608,104,60,140,144,280,834,367,406,288,6,0
CAMPBEL01,1,2001,Elden,Campbell,CHA,11,N,77,2156,1074,133,397,530,102,60,137,138,264,794,384,384,306,2,0
CARRAN01,0,1993,Antoine,Carr,SAS,9,N,34,465,198,12,39,51,15,9,22,15,75,160,78,58,42,1,0
CARRAN01,0,1994,Antoine,Carr,UTA,10,N,78,1677,746,81,184,265,67,24,68,87,253,546,290,201,165,4,1
CARRAN01,0,1995,Antoine,Carr,UTA,11,N,80,1532,580,71,129,200,74,28,65,78,254,510,233,144,114,3,0
CARTEVI01,2,2007,Vince,Carter,NJN,9,N,76,2962,1622,112,343,455,389,93,33,181,241,1287,587,429,350,273,98
CARTEVI01,2,2008,Vince,Carter,NJN,10,N,80,2942,1662,74,336,410,376,82,38,166,234,1345,588,410,335,392,151
CarteVi01,2,2009,Vince,Carter,ORL,11,N,75,2310,1244,33,260,293,236,53,18,106,189,1015,434,306,257,324,119
CARTWBI01,1,1988,Bill,Cartwright,CHI,9,N,78,2333,966,152,369,521,90,21,41,190,234,768,365,308,236,0,0
CARTWBI01,1,1989,Bill,Cartwright,CHI,10,N,71,2160,811,137,328,465,145,38,34,123,243,598,292,280,227,0,0
CARTWBI01,1,1990,Bill,Cartwright,CHI,11,N,79,2273,760,167,319,486,126,32,15,113,167,649,318,178,124,0,0
CASSESA01,2,2002,Sam,Cassell,MIL,9,N,78,2700,1536,57,285,342,450,88,14,177,216,1162,546,447,385,163,59
CASSESA01,2,2003,Sam,Cassell,MIN,10,N,81,2838,1603,44,227,271,592,102,18,220,247,1270,620,331,289,186,74
CASSESA01,2,2004,Sam,Cassell,MIN,11,N,59,1522,799,25,132,157,301,36,14,109,160,687,319,155,134,103,27
CHAMBTO01,0,1990,Tom,Chambers,PHO,9,N,76,2475,1511,104,386,490,194,65,52,177,235,1271,556,459,379,73,20
CHAMBTO01,0,1991,Tom,Chambers,PHO,10,N,69,1948,1128,86,315,401,142,57,37,103,196,989,426,311,258,49,18
CHAMBTO01,0,1992,Tom,Chambers,PHO,11,N,73,1723,892,96,249,345,101,43,23,92,212,716,320,288,241,28,11
CHANEDO01,2,1977,Don,Chaney,TOT,9,N,51,835,246,40,76,116,66,44,13,61,107,269,104,45,38,0,0
CHANEDO01,2,1978,Don,Chaney,BOS,10,N,65,1074,384,63,78,141,75,72,11,65,167,414,174,42,36,0,0
CHANEDO01,2,1979,Don,Chaney,BOS,11,N,60,523,167,31,42,73,38,31,11,33,80,189,67,42,32,6,1
CHAPMRE01,2,1997,Rex,Chapman,PHO,9,N,68,2263,1082,30,143,173,203,71,14,116,102,956,408,187,146,311,120
CHAPMRE01,2,1998,Rex,Chapman,PHO,10,N,38,1183,459,12,92,104,109,34,9,54,46,459,165,91,76,151,53
CHAPMRE01,2,1999,Rex,Chapman,PHO,11,N,53,957,348,10,70,80,62,22,1,38,70,320,124,78,59,123,41
CHEANCA01,2,2002,Calbert,Cheaney,UTA,9,N,81,2351,700,73,211,284,163,65,13,108,225,651,325,69,40,25,10
CHEANCA01,2,2003,Calbert,Cheaney,GSW,10,N,79,2066,603,77,183,260,136,60,12,85,184,578,278,77,47,10,0
CHEANCA01,2,2004,Calbert,Cheaney,GSW,11,N,55,950,250,32,92,124,64,17,15,35,95,265,113,37,24,3,0
CHEEKMA01,2,1987,Maurice,Cheeks,PHI,9,N,79,2871,1086,59,194,253,635,167,22,160,116,865,428,275,227,22,3
CHEEKMA01,2,1988,Maurice,Cheeks,PHI,10,N,71,2298,824,39,144,183,554,105,17,116,114,696,336,195,151,13,1
CHEEKMA01,2,1989,Maurice,Cheeks,TOT,11,N,81,2519,789,50,190,240,453,124,10,121,78,609,307,202,171,16,4
CHRISDO01,2,2001,Doug,Christie,SAC,9,N,81,2795,972,74,300,374,340,160,25,164,209,735,338,242,206,256,90
CHRISDO01,2,2002,Doug,Christie,SAC,10,N,80,2710,748,61,281,342,376,180,37,144,186,557,267,174,141,185,73
CHRISDO01,2,2003,Doug,Christie,SAC,11,N,82,2779,831,69,260,329,347,151,41,155,186,688,317,172,148,142,49
COLEMDE01,0,1999,Derrick,Coleman,CHA,9,N,74,2347,1239,124,508,632,175,34,130,173,195,979,446,377,296,141,51
